FECHA,BRUTO_MENSUAL
30/10/2023,$240,000
30/11/2023,$260,000
30/12/2023,$260,000
30/01/2024,$360,000
29/02/2024,$360,000
30/03/2024,$525,000
30/04/2024,$525,000
30/05/2024,$725,000
30/06/2024,$725,000
30/07/2024,$884,500
30/08/2024,$884,500
01/10/2024,$884,500
01/11/2024,$955,260
02/12/2024,$1,528,416
02/01/2025,$1,528,417
03/02/2025,$1,528,417
05/03/2025,$1,528,416
01/04/2025,$1,528,417
05/05/2025,$1,834,100
02/06/2025,$1,834,099
01/07/2025,$1,834,099
01/08/2025,$2,200,919
01/09/2025,$2,200,919
01/10/2025,$2,200,919
03/11/2025,$2,200,919
01/12/2025,$2,421,011
02/01/2026,$2,421,011
01/02/2026,$2,421,011
02/03/2026,$2,421,011
01/04/2026,$2,421,011
